objectid,filename,title,creator,description,format,subject,grouping,location,latitude,longitude,collection_grouping_location_notes,accession_number,museum_entry_link,collection_number,file_count,artist,culture,country,date_photographed,earliest_date,latest_date,date,style_or_period,materials_or_techniques,measurements,creation_or_discovery_site,tags,photographer,relationships,rights,license_info,,,,,,,,,,,,,
SSID24842628_P7280259a.JPG,https://archive.org/download/SSID24842628_P7280259a.JPG/SSID24842628_P7280259a.JPG,Arghul (arghool); clarinet and drone of two reeds,Timothy Moore Project Collection,200BC,image/jpeg,music;clarinet;double clarinet;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1886.17.3,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-209183,,1,,"African, Egyptian, Arab",Egypt,7/29/17,,,,,"reed, string","Length 247 mm chanter, Length 514 mm drone",,clarinet; double clarinet; drone; wind; ethnomusicology,,"P7280259b, P7280259c",https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842627_P7280311.JPG,https://archive.org/download/SSID24842627_P7280311.JPG/SSID24842627_P7280311.JPG,Bagpipes,Timothy Moore Project Collection,A case full of bagpipes from various cultures,image/jpeg,music;bagpipes;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-40766,,1,,Algerian,Algeria,7/29/17,,,,,"bird bone, animal skin","Length: max 510 mm, Length: max 197 mm blow pipe, Length: max 110 mm chanter",,bagpipes; wind; ethnomusicology,,,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842626_P7280305.JPG,https://archive.org/download/SSID24842626_P7280305.JPG/SSID24842626_P7280305.JPG,Oboe,Timothy Moore Project Collection,"Brass-mounted oboe for temple use, with 7 finger holes and a thumb hole, and a brass bell and mouthpiece. A double chain secures the mouthpiece and bell to the wooden shaft. There are 7 brass rings around the shaft.",image/jpeg,music;oboe;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1921.31.13,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-42000,,1,,Tibetan,Tibet,7/29/17,,,,,"wood, brass","Length 82 mm mouthpiece, Length 192 mm bell, Length: max 593 mm, Diameter 130 mm bell",,oboe; wind; ethnomusicology,,,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842624_P7280299.JPG,https://archive.org/download/SSID24842624_P7280299.JPG/SSID24842624_P7280299.JPG,Oleh-oleh-an,Timothy Moore Project Collection,"An oboe-like instrument called an oleh-oleh-an, made of a spiral twist of coconut palm leaf, fastened at base by safety pin, conical bore. In upper end, it has a rice stalk reed with slits, forming a multiple retreating reed.",image/jpeg,music;oboe;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1905.29.2,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-42041,,1,,Sundanese,Indonesia,7/29/17,,,,,"palm leaf, rice, metal","Length: max 220 mm, Diameter 45 mm bell","West Java, Indonesia",oboe; wind; ethnomusicology,,,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842623_P7280298.JPG,https://archive.org/download/SSID24842623_P7280298.JPG/SSID24842623_P7280298.JPG,Model musician with Burmese oboe,Timothy Moore Project Collection,A bronze model of a seated Burmese oboe player,image/jpeg,music;oboe;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1927.75.4,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-43206,,1,,Burman,Myanmar,7/29/17,,,,,bronze,,"Bago, Myanmar",oboe; wind; ethnomusicology,,,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842621_P7280273b.JPG,https://archive.org/download/SSID24842621_P7280273b.JPG/SSID24842621_P7280273b.JPG,(Right) Clarinet,Timothy Moore Project Collection,A reed clarinet with four fingerholes and one thumb hole,image/jpeg,music;clarinet;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1938.34.326,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-40955,,1,,Ibizan,Spain,7/29/17,,,,,reed,Length: max 201 mm,"Ibiza, Balearic Islands, Spain",clarinet; wind; ethnomusicology,,P7280273a,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842620_P7280273a.JPG,https://archive.org/download/SSID24842620_P7280273a.JPG/SSID24842620_P7280273a.JPG,(Left) Double clarinet,Timothy Moore Project Collection,A double clarinet; one pipe has five visible holes and the other has one,image/jpeg,music;double clarinet;clarinet;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1938.34.331,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-41036,,1,,Hungarian,Hungary,7/29/17,,,,,reed,Length: max 380 mm,Hungary,double clarinet; clarinet; wind; extant; ethnomusicology; drone,,P7280273b,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842618_P7280272.JPG,https://archive.org/download/SSID24842618_P7280272.JPG/SSID24842618_P7280272.JPG,Lead clarinet,Timothy Moore Project Collection,A clarinet made of lead with a brass tongue,image/jpeg,music;clarinet;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection ,1908.46.1,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-40977,,1,,Italian,Italy,7/29/17,,,,,"lead, brass",Length: max 380 mm,Naples,clarinet; wind; ethnomusicology,,,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842617_P7280266.JPG,https://archive.org/download/SSID24842617_P7280266.JPG/SSID24842617_P7280266.JPG,Double clarinet,Timothy Moore Project Collection,Double clarinet with a mouthpiece and bell made of cows' horns,image/jpeg,music;clarinet;double clarinet;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1926.26.1,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-41038,,1,,Basque,Spain,7/29/17,,,,,"reed, cow horn","Length 150 mm pipes, Length 50 mm longer reed, Length 40 mm shorter reed, Length: max 270 mm","Gorbea, Spain",clarinet; double clarinet; wind; ethnomusicology,,,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842615_P7280306.JPG,https://archive.org/download/SSID24842615_P7280306.JPG/SSID24842615_P7280306.JPG,Oboe reeds,Timothy Moore Project Collection,Oboe reeds from a variety of locations including Calabria (B) and China (E),image/jpeg,music;oboe;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,,,,,1,,,China or Italy,7/29/17,,,,,"willow bark (A), reed",,,oboe; wind; ethnomusicology,,,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842614_P7280302.JPG,https://archive.org/download/SSID24842614_P7280302.JPG/SSID24842614_P7280302.JPG,Oboe,Timothy Moore Project Collection,(Top) A bamboo oboe with 7 finger holes on the front and 2 on the back. The inside is lacquered red and black. The bamboo reed has paper binding.,image/jpeg,music;oboe;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1938.34.354,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-42780,,1,,Japanese,Japan,7/29/17,,,,,"bamboo, lacquer, textile, ink, reed, paper","Length: max 180 mm, Length: max 220 mm, Diameter: max 12 mm, Length: max 55 mm","Osaka, Japan",oboe; wind; ethnomusicology,,P7280303,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842612_P7280289.JPG,https://archive.org/download/SSID24842612_P7280289.JPG/SSID24842612_P7280289.JPG,Chirimia,Timothy Moore Project Collection,"An oboe-like instrument called a chirimia, or a Spanish-type shawm",image/jpeg,music;oboe;wind;ethnomusicology;shawm,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1972.7.12,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-41972,,1,,Quiché Maya,Guatemala,7/29/17,,,,,"wood, tin, cotton yarn","Length: max 370 mm, Diameter 43 mm bell, Length 93 mm reed","Chichicastenango, Guatemala",oboe; wind; ethnomusicology; shawm,,P7280288,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842611_P7280317e.JPG,https://archive.org/download/SSID24842611_P7280317e.JPG/SSID24842611_P7280317e.JPG,Fragment of painted wall,Timothy Moore Project Collection,"(Top row, right) Fragment of a painted wall, showing a naked female figure riding a hippocampus with a cherub flying behind her",image/jpeg,non-music,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,,1884.140.980,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-221666,,1,,Roman,Italy,7/29/17,,,,,"pigment, stone","Width: max 286 mm, Length: max 253 mm","Farnese Palace, Rome, Lazio, Italy",hippocampus,,"P7280317a, P7280317b, P7280317c, P7280317d",https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842610_P7280317d.JPG,https://archive.org/download/SSID24842610_P7280317d.JPG/SSID24842610_P7280317d.JPG,Fragment of painted wall,Timothy Moore Project Collection,"(Top row, second from right) Fragment of a painted wall with a red background and a naked female figure dancing and holding a length of blue fabric",image/jpeg,music;dance;dancing,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,,1884.140.977,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-221663,,1,,Roman,Italy,7/29/17,,,,,"pigment, stone",Length x Width: max 220 x 194 mm,"Farnese Palace, Rome, Lazio, Italy",dance; dancing,,"P7280317a, P7280317b, P7280317c, P7280317e",https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842607_P7280317c.JPG,https://archive.org/download/SSID24842607_P7280317c.JPG/SSID24842607_P7280317c.JPG,Fragment of painted wall,Timothy Moore Project Collection,"(Top row, third from left) Fragment of a painted wall, depicting a naked  figure holding a length of blue fabric and a drum",image/jpeg,music;tympanon;percussion,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,,1884.140.976,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-221650,,1,,Roman,Italy,7/29/17,,,,,"pigment, stone",Length x Width: max 226 x 115 mm,"Farnese Palace, Rome, Lazio, Italy",tympanon; percussion,,"P7280317a, P7280317b, P7280317d, P7280317e, P7280318c",https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842606_P7280317b.JPG,https://archive.org/download/SSID24842606_P7280317b.JPG/SSID24842606_P7280317b.JPG,Fragment of painted wall,Timothy Moore Project Collection,"(Top row, second from left) Fragment of painted wall, depicting a naked female figure with a basket on her head and a long length of yellow fabric, holding a thyrsus",image/jpeg,non-music,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,,1884.140.979,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-221665,,1,,Roman,Italy,7/29/17,,,,,"pigment, stone",Length x Width: max 194 x 125 mm,"Farnese Palace, Rome, Lazio, Italy",Bacchant; maenads,,"P7280317a, P7280317c, P7280317d, P7280317e, P7280318b",https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842605_P7280317a.JPG,https://archive.org/download/SSID24842605_P7280317a.JPG/SSID24842605_P7280317a.JPG,Fragment of painted wall,Timothy Moore Project Collection,"(Top row, left) Fragment of a painted wall depicting a face with several musical instruments behind it, including horns, a lyre, panpipes, and crotala",image/jpeg,music;tuba;trumpet;brass;syrinx;panpipe;wind;lyre;string;krotala;percussion,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,,1884.140.978,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-221664,,1,,Roman,Italy,7/29/17,,,,,"pigment, stone",Length x Width: max 125 x 100 mm,"Farnese Palace, Rome, Lazio, Italy",tuba; trumpet; brass; syrinx; panpipe; wind; lyre; string; crotala; percussion,,"P7280317b, P7280317c, P7280317d, P7280317e, P7280318a",https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842603_P7280303.JPG,https://archive.org/download/SSID24842603_P7280303.JPG/SSID24842603_P7280303.JPG,Oboe,Timothy Moore Project Collection,(Top) A bamboo oboe with 7 finger holes on the front and 2 on the back. The inside is lacquered red and black. The bamboo reed has paper binding.,image/jpeg,music;oboe;wind;ethnomusicology,Alternate Angles,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1938.34.354,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-42780,,1,,Japanese,Japan,7/29/17,,,,,"bamboo, lacquer, textile, ink, reed, paper","Length: max 180 mm, Length: max 220 mm, Diameter: max 12 mm, Length: max 55 mm","Osaka, Japan",oboe; wind; ethnomusicology,,P7280302,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842602_P7280288.JPG,https://archive.org/download/SSID24842602_P7280288.JPG/SSID24842602_P7280288.JPG,Chirimia,Timothy Moore Project Collection,"An oboe-like instrument called a chirimia, or a Spanish-type shawm",image/jpeg,music;oboe;wind;ethnomusicology;shawm,Alternate Angles,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1972.7.12,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-41972,,1,,Quiché Maya,Guatemala,7/29/17,,,,,"wood, tin, cotton yarn","Length: max 370 mm, Diameter 43 mm bell, Length 93 mm reed","Chichicastenango, Guatemala",oboe; wind; ethnomusicology; shawm,,P7280289,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842600_P7280263b.JPG,https://archive.org/download/SSID24842600_P7280263b.JPG/SSID24842600_P7280263b.JPG,Reed clarinet,Timothy Moore Project Collection,(Bottom) a simple reed clarinet,image/jpeg,music;clarinet;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1913.13.5,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-40894,,1,,Sudanese,Sudan,7/29/17,,,,,reed,Length: max 110 mm,"Gebel Moya, Sennar, Sudan",clarinet; wind; ethnomusicology,,P7280263a,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842593_P7280263a.JPG,https://archive.org/download/SSID24842593_P7280263a.JPG/SSID24842593_P7280263a.JPG,Clarinet with two finger-holes,Timothy Moore Project Collection,(Top) a clarinet with 2 finger holes,image/jpeg,music;clarinet;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1914.53.5,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-40968,,1,,Turkish,Cyprus,7/29/17,,,,,reed,Length: max 124 mm,"Lapithos, Cyprus",clarinet; wind; ethnomusicology,,P7280263b,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842591_P7280315.JPG,https://archive.org/download/SSID24842591_P7280315.JPG/SSID24842591_P7280315.JPG,Whithorns,Timothy Moore Project Collection,Three whithorns made of willowbark. Whithorns were blown to wake people up to go on a deer hunt in Wychwood Forest. The residents of Ducklington and other villages were allowed to hunt and kill a stag during Whitsuntide. The twisted bark is pinned with thorns and a reed is inserted in the narrow end. It probably made a tooting sound.,image/jpeg,music;oboe;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1902.16.7; 1903.130.22.1; 1903.130.22.2,Link 1: https://www.prm.ox.ac.uk/collections-online#/item/prm-object-42009 Link 2: https://www.prm.ox.ac.uk/collections-online#/item/prm-object-42010 Link 3: https://www.prm.ox.ac.uk/collections-online#/item/prm-object-42011,,1,,English,England,7/29/17,1801,1900,1900,,"willow bark, reed, thorns","Diameter 45 mm bell, Length: max 203 mm","Ducklington, Oxfordshire, England",oboe; wind; ethnomusicology,,,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842590_P7280314.JPG,https://archive.org/download/SSID24842590_P7280314.JPG/SSID24842590_P7280314.JPG,Panpipes,Timothy Moore Project Collection,A case full of panpipes from various cultures,image/jpeg,music;panpipe;syrinx;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,,,,1,,,,7/29/17,,,,,,,,panpipes; syrinx; wind; ethnomusicology,,,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
